Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"D15","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",186.5000,-64.2058,240.0000,top
"D16","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",182.0000,-63.0000,270.0000,top
"D17","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",177.5000,-64.2058,300.0000,top
"D18","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",174.2058,-67.5000,330.0000,top
"D19","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",173.0000,-72.0000,0.0000,top
"D20","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",174.2058,-76.5000,30.0000,top
"D21","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",177.5000,-79.7942,60.0000,top
"D22","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",182.0000,-81.0000,90.0000,top
"D23","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",186.5000,-79.7942,120.0000,top
"D24","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",189.7942,-76.5000,150.0000,top
"D25","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",191.0000,-124.0000,180.0000,top
"D26","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",189.7942,-119.5000,210.0000,top
"D27","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",186.5000,-116.2058,240.0000,top
"D28","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",182.0000,-115.0000,270.0000,top
"D29","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",177.5000,-116.2058,300.0000,top
"D30","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",174.2058,-119.5000,330.0000,top
"D31","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",173.0000,-124.0000,0.0000,top
"D32","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",174.2058,-128.5000,30.0000,top
"D33","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",177.5000,-131.7942,60.0000,top
"D34","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",182.0000,-133.0000,90.0000,top
"D35","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",186.5000,-131.7942,120.0000,top
"D36","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",189.7942,-128.5000,150.0000,top
"D37","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",116.0000,-124.0000,180.0000,top
"D38","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",114.7942,-119.5000,210.0000,top
"D39","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",111.5000,-116.2058,240.0000,top
"D40","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",107.0000,-115.0000,270.0000,top
"D41","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",102.5000,-116.2058,300.0000,top
"D42","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",99.2058,-119.5000,330.0000,top
"D43","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",98.0000,-124.0000,0.0000,top
"D44","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",99.2058,-128.5000,30.0000,top
"D45","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",102.5000,-131.7942,60.0000,top
"D46","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",107.0000,-133.0000,90.0000,top
"D47","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",111.5000,-131.7942,120.0000,top
"D48","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",114.7942,-128.5000,150.0000,top
"D49","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",116.0000,-72.0000,180.0000,top
"D50","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",114.7942,-67.5000,210.0000,top
"D51","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",111.5000,-64.2058,240.0000,top
"D52","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",107.0000,-63.0000,270.0000,top
"D53","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",102.5000,-64.2058,300.0000,top
"D54","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",99.2058,-67.5000,330.0000,top
"D55","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",98.0000,-72.0000,0.0000,top
"D56","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",99.2058,-76.5000,30.0000,top
"D57","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",102.5000,-79.7942,60.0000,top
"D58","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",107.0000,-81.0000,90.0000,top
"D59","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",111.5000,-79.7942,120.0000,top
"D60","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",114.7942,-76.5000,150.0000,top
"D61","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",79.0000,-39.0000,180.0000,top
"D62","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",77.7942,-34.5000,210.0000,top
"D63","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",74.5000,-31.2058,240.0000,top
"D64","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",70.0000,-30.0000,270.0000,top
